"","taxa","family","genus","lme","rank","survey","source","type.length","level_inferred","b","a"
"859","Mullus surmuletus","Mullidae","Mullus",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.14515376091003,0.0089589583221823
"860","Clupea harengus","Clupeidae","Clupea",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.05705001025364,0.00702177587061607
"861","Trachurus trachurus","Carangidae","Trachurus",22,"Species","FR-CGFS","fb","TL","spe-FAO",2.98509090596979,0.0101099999367513
"862","Scyliorhinus canicula","Scyliorhinidae","Scyliorhinus",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.17112505435944,0.00186124999163439
"863","Mullus surmuletus","Mullidae","Mullus",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.14515376091003,0.0089589583221823
"864","Microstomus kitt","Pleuronectidae","Microstomus",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.04499995708466,0.0087500000372529
"865","Trisopterus minutus","Gadidae","Trisopterus",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.06124997138977,0.00767500011716038
"866","Zeus faber","Zeidae","Zeus",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.02000001498631,0.016679999950741
"867","Scyliorhinus canicula","Scyliorhinidae","Scyliorhinus",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.17112505435944,0.00186124999163439
"868","Trisopterus minutus","Gadidae","Trisopterus",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.06124997138977,0.00767500011716038
"869","Chelidonichthys cuculus","Triglidae","Chelidonichthys",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.10316665967306,0.00822500015298525
"870","Raja clavata","Rajidae","Raja",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.22740001678467,0.00259400003124028
"871","Sardina pilchardus","Clupeidae","Sardina",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.1022125184536,0.00711875013075769
"872","Spondyliosoma cantharus","Sparidae","Spondyliosoma",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.08690907738426,0.0119009090756828
"873","Microchirus variegatus","Soleidae","Microchirus",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.12799996137619,0.00996749993646517
"874","Gadus morhua","Gadidae","Gadus",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.08440003395081,0.007181999925524
"875","Galeorhinus galeus","Triakidae","Galeorhinus",24,"Species","FR-CGFS","fb","TL","spe-Ocean",2.97075710977827,0.00801428572906713
"876","Mustelus","Triakidae","Mustelus",24,"Genus","FR-CGFS","fb","TL","gen-FAO",3.1599999666214,0.00200000003678724
"877","Zeus faber","Zeidae","Zeus",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.02000001498631,0.016679999950741
"878","Trisopterus luscus","Gadidae","Trisopterus",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.19577778710259,0.00780111119254596
"879","Raja undulata","Rajidae","Raja",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.06799999872843,0.00551333340505759
"880","Pollachius pollachius","Gadidae","Pollachius",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.10833334922791,0.00595333334058523
"881","Dasyatis pastinaca","Dasyatidae","Dasyatis",24,"Species","FR-CGFS","fb","TL","spe-Ocean",2.73213996887207,0.0320799998939037
"882","Scyliorhinus stellaris","Scyliorhinidae","Scyliorhinus",24,"Species","FR-CGFS","fb","TL","spe-Ocean",3.16700005531311,0.0020000000949949
"883","Chelidonichthys lastoviza","Triglidae","Chelidonichthys",24,"Species","FR-CGFS","fb","TL","spe-FAO",2.98116664091746,0.0106533332727849
"884","Engraulis encrasicolus","Engraulidae","Engraulis",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.19062858309065,0.00410428573710046
"885","Belone belone","Belonidae","Belone",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.09733327229818,0.00098333335093533
"886","Zeugopterus punctatus","Scophthalmidae","Zeugopterus",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.14599990844727,0.0138999996706843
"887","Raja brachyura","Rajidae","Raja",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.18250000476837,0.00351499998942018
"888","Merlangius merlangus","Gadidae","Merlangius",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.06236000061035,0.0077439998742193
"889","Chelidonichthys lucerna","Triglidae","Chelidonichthys",24,"Species","FR-CGFS","fb","TL","spe-FAO",2.99620001316071,0.0101169999223202
"890","Conger conger","Congridae","Conger",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.23628572055272,0.000925571441517345
"891","Labrus bergylta","Labridae","Labrus",24,"Species","FR-CGFS","fb","TL","spe-FAO",3,0.0144999995827675
"892","Trachinus draco","Trachinidae","Trachinus",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.13050001859665,0.0063212500026566
"893","Galeorhinus galeus","Triakidae","Galeorhinus",22,"Species","FR-CGFS","fb","TL","spe-Ocean",2.97075710977827,0.00801428572906713
"894","Eutrigla gurnardus","Triglidae","Eutrigla",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.22724997997284,0.00480000005336478
"895","Solea solea","Soleidae","Solea",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.07042000293732,0.007413399964571
"896","Raja montagui","Rajidae","Raja",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.27050006389618,0.00235500000417233
"897","Raja microocellata","Rajidae","Raja",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.11700010299683,0.00493999989703298
"898","Leucoraja circularis","Rajidae","Leucoraja",24,"Species","FR-CGFS","fb","TL","spe-Ocean",3.07999992370605,0.00389999989420176
"899","Merlangius merlangus","Gadidae","Merlangius",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.06236000061035,0.0077439998742193
"900","Gadus morhua","Gadidae","Gadus",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.08440003395081,0.007181999925524
"901","Sardina pilchardus","Clupeidae","Sardina",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.1022125184536,0.00711875013075769
"902","Pleuronectes platessa","Pleuronectidae","Pleuronectes",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.12099993228912,0.00778000010177493
"903","Scomber scombrus","Scombridae","Scomber",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.14799996784755,0.00553000004895564
"904","Molva molva","Lotidae","Molva",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.43600010871887,0.00100000004749745
"905","Scophthalmus maximus","Scophthalmidae","Scophthalmus",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.02788893381755,0.016391111123893
"906","Limanda limanda","Pleuronectidae","Limanda",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.10099997520447,0.00776200005784631
"907","Chelon auratus","Mugilidae","Chelon",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.02512499690056,0.0102462500217371
"908","Spondyliosoma cantharus","Sparidae","Spondyliosoma",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.08690907738426,0.0119009090756828
"909","Scophthalmus rhombus","Scophthalmidae","Scophthalmus",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.01591670513153,0.0153250001603737
"910","Chelidonichthys cuculus","Triglidae","Chelidonichthys",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.10316665967306,0.00822500015298525
"911","Balistes capriscus","Balistidae","Balistes",24,"Species","FR-CGFS","fb","TL","spe-FAO",2.71266667048136,0.0884333327412605
"912","Leucoraja naevus","Rajidae","Leucoraja",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.31100002924601,0.00191666667039196
"913","Pegusa lascaris","Soleidae","Pegusa",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.16500008106232,0.00690000015310943
"914","Ctenolabrus rupestris","Labridae","Ctenolabrus",24,"Species","FR-CGFS","fb","TL","spe-FAO",3,0.0122999995946884
"915","Mustelus","Triakidae","Mustelus",22,"Genus","FR-CGFS","fb","TL","gen-FAO",3.1599999666214,0.00200000003678724
"916","Dicentrarchus labrax","Moronidae","Dicentrarchus",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.00228571891785,0.0105842856823334
"917","Trisopterus luscus","Gadidae","Trisopterus",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.19577778710259,0.00780111119254596
"918","Chelidonichthys lucerna","Triglidae","Chelidonichthys",22,"Species","FR-CGFS","fb","TL","spe-FAO",2.99620001316071,0.0101169999223202
"919","Scophthalmus maximus","Scophthalmidae","Scophthalmus",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.02788893381755,0.016391111123893
"920","Clupea harengus","Clupeidae","Clupea",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.05705001025364,0.00702177587061607
"921","Gaidropsarus vulgaris","Lotidae","Gaidropsarus",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.18050003051758,0.00650500017218292
"922","Pagellus bogaraveo","Sparidae","Pagellus",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.09019999504089,0.0117179997265339
"923","Chelon","Mugilidae","Chelon",24,"Genus","FR-CGFS","fb","TL","gen-FAO",3.02244999408722,0.00962350000627339
"924","Lophius piscatorius","Lophiidae","Lophius",24,"Species","FR-CGFS","fb","TL","spe-FAO",2.92016661167145,0.0226983334093044
"925","Ciliata","Lotidae","Ciliata",24,"Genus","FR-CGFS","fb","TL","gen-FAO",3,0.0063999998383224
"926","Platichthys flesus","Pleuronectidae","Platichthys",24,"Species","FR-CGFS","fb","TL","spe-FAO",2.90055555767483,0.0160574443741805
"927","Ammodytes tobianus","Ammodytidae","Ammodytes",24,"Species","FR-CGFS","fb","TL","spe-FAO",2.55999994277954,0.00980000011622906
"928","Squalus acanthias","Squalidae","Squalus",24,"Species","FR-CGFS","fb","TL","spe-Ocean",3.05726924309364,0.00471846156198388
"929","Micromesistius poutassou","Gadidae","Micromesistius",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.31183330217997,0.00267333331673096
"930","Arnoglossus laterna","Bothidae","Arnoglossus",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.22574996948242,0.00526499998522922
"931","Raja clavata","Rajidae","Raja",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.22740001678467,0.00259400003124028
"932","Solea solea","Soleidae","Solea",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.07042000293732,0.007413399964571
"933","Lepadogaster","Gobiesocidae","Lepadogaster",24,"Genus","FR-CGFS","fb","TL","gen-Ocean",3,0.0230653770267963
"934","Sparus aurata","Sparidae","Sparus",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.01379997389657,0.0299771432099598
"935","Engraulis encrasicolus","Engraulidae","Engraulis",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.19062858309065,0.00410428573710046
"936","Raja undulata","Rajidae","Raja",22,"Species","FR-CGFS","fb","TL","spe-FAO",3.06799999872843,0.00551333340505759
"937","Chelidonichthys lastoviza","Triglidae","Chelidonichthys",22,"Species","FR-CGFS","fb","TL","spe-FAO",2.98116664091746,0.0106533332727849
"938","Alosa","Clupeidae","Alosa",24,"Genus","FR-CGFS","fb","TL","gen-FAO",3.00114814440409,0.0147885183665763
"939","Hyperoplus lanceolatus","Ammodytidae","Hyperoplus",24,"Species","FR-CGFS","fb","TL","spe-Ocean",2.69670009613037,0.00659999996423721
"940","Callionymus lyra","Callionymidae","Callionymus",24,"Species","FR-CGFS","fb","TL","spe-FAO",2.496333360672,0.0454444447532296
"941","Myoxocephalus scorpius","Cottidae","Myoxocephalus",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.25700008869171,0.00830000010319054
"942","Chelon labrosus","Mugilidae","Chelon",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.07299995422363,0.00902333358923594
"943","Callionymus lyra","Callionymidae","Callionymus",22,"Species","FR-CGFS","fb","TL","spe-FAO",2.496333360672,0.0454444447532296
"944","Syngnathus","Syngnathidae","Syngnathus",24,"Genus","FR-CGFS","fb","TL","gen-FAO",3.24999995231628,0.000286920000507962
"945","Blennius ocellaris","Blenniidae","Blennius",24,"Species","FR-CGFS","fb","TL","spe-FAO",2.93650007247925,0.0153999999165535
"946","Echiichthys vipera","Trachinidae","Echiichthys",24,"Species","FR-CGFS","fb","TL","spe-FAO",3.04999995231628,0.010499999858439
"947","Melanogrammus aeglefinus","Gadidae","Melanogrammus",24,"Species","IE-IGFS","fb","TL","spe-Ocean",3.1416086839593,0.00596956520989213
"948","Trachurus trachurus","Carangidae","Trachurus",24,"Species","IE-IGFS","fb","TL","spe-FAO",2.98509090596979,0.0101099999367513
"949","Merluccius merluccius","Merlucciidae","Merluccius",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.06889998912811,0.00578580009751022
"950","Leucoraja naevus","Rajidae","Leucoraja",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.31100002924601,0.00191666667039196
"951","Scyliorhinus canicula","Scyliorhinidae","Scyliorhinus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.17112505435944,0.00186124999163439
"952","Clupea harengus","Clupeidae","Clupea",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.05705001025364,0.00702177587061607
"953","Eutrigla gurnardus","Triglidae","Eutrigla",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.22724997997284,0.00480000005336478
"954","Microstomus kitt","Pleuronectidae","Microstomus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.04499995708466,0.0087500000372529
"955","Trisopterus minutus","Gadidae","Trisopterus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.06124997138977,0.00767500011716038
"956","Raja clavata","Rajidae","Raja",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.22740001678467,0.00259400003124028
"957","Chelidonichthys cuculus","Triglidae","Chelidonichthys",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.10316665967306,0.00822500015298525
"958","Squalus acanthias","Squalidae","Squalus",24,"Species","IE-IGFS","fb","TL","spe-Ocean",3.05726924309364,0.00471846156198388
"959","Lepidorhombus whiffiagonis","Scophthalmidae","Lepidorhombus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.13676247000694,0.00423124991357327
"960","Zeus faber","Zeidae","Zeus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.02000001498631,0.016679999950741
"961","Capros aper","Caproidae","Capros",24,"Species","IE-IGFS","fb","TL","spe-FAO",2.81924992799759,0.0299174997489899
"962","Helicolenus dactylopterus","Sebastidae","Helicolenus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.10075002908707,0.0112000000663102
"963","Merlangius merlangus","Gadidae","Merlangius",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.06236000061035,0.0077439998742193
"964","Trisopterus esmarkii","Gadidae","Trisopterus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3,0.00680000009015203
"965","Glyptocephalus cynoglossus","Pleuronectidae","Glyptocephalus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.23500001430511,0.00275000010151416
"966","Sprattus sprattus","Clupeidae","Sprattus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.11000001430511,0.00523500004783273
"967","Argentina","Argentinidae","Argentina",24,"Genus","IE-IGFS","fb","TL","gen-FAO",3.18159999847412,0.00375999992247671
"968","Pleuronectes platessa","Pleuronectidae","Pleuronectes",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.12099993228912,0.00778000010177493
"969","Hippoglossoides platessoides","Pleuronectidae","Hippoglossoides",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.2039999961853,0.00439999997615814
"970","Callionymus","Callionymidae","Callionymus",24,"Genus","IE-IGFS","fb","TL","gen-FAO",2.57807144096919,0.0336242858320475
"971","Limanda limanda","Pleuronectidae","Limanda",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.10099997520447,0.00776200005784631
"972","Solea solea","Soleidae","Solea",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.07042000293732,0.007413399964571
"973","Callionymus lyra","Callionymidae","Callionymus",24,"Species","IE-IGFS","fb","TL","spe-FAO",2.496333360672,0.0454444447532296
"974","Lophius piscatorius","Lophiidae","Lophius",24,"Species","IE-IGFS","fb","TL","spe-FAO",2.92016661167145,0.0226983334093044
"975","Scomber scombrus","Scombridae","Scomber",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.14799996784755,0.00553000004895564
"976","Entelurus aequoreus","Syngnathidae","Entelurus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3,0.00022000000171829
"977","Micromesistius poutassou","Gadidae","Micromesistius",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.31183330217997,0.00267333331673096
"978","Conger conger","Congridae","Conger",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.23628572055272,0.000925571441517345
"979","Gadiculus argenteus","Gadidae","Gadiculus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.32133332888285,0.00417666664967934
"980","Microchirus variegatus","Soleidae","Microchirus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.12799996137619,0.00996749993646517
"981","Buglossidium luteum","Soleidae","Buglossidium",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.37000000476837,0.00498999992851168
"982","Pollachius virens","Gadidae","Pollachius",24,"Species","IE-IGFS","fb","TL","spe-Ocean",3.04306878149509,0.00844562509155367
"983","Gadus morhua","Gadidae","Gadus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.08440003395081,0.007181999925524
"984","Molva molva","Lotidae","Molva",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.43600010871887,0.00100000004749745
"985","Galeus melastomus","Pentanchidae","Galeus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.09900002479553,0.00199199996422976
"986","Maurolicus muelleri","Sternoptychidae","Maurolicus",24,"Species","IE-IGFS","fb","TL","spe-Ocean",3.96099996566772,0.00164000003132969
"987","Argentinidae","Argentinidae",NA,24,"Family","IE-IGFS","fb","TL","fam-FAO",3.2046666542689,0.00349999993341044
"988","Galeorhinus galeus","Triakidae","Galeorhinus",24,"Species","IE-IGFS","fb","TL","spe-Ocean",2.97075710977827,0.00801428572906713
"989","Hyperoplus immaculatus","Ammodytidae","Hyperoplus",24,"Species","IE-IGFS","fb","TL","spe-Ocean",2.83550000190735,0.00617884076200426
"990","Lophius budegassa","Lophiidae","Lophius",24,"Species","IE-IGFS","fb","TL","spe-FAO",2.91574996709824,0.0365024999482557
"991","Phycis blennoides","Phycidae","Phycis",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.22157141140529,0.00510999989429755
"992","Scophthalmus rhombus","Scophthalmidae","Scophthalmus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.01591670513153,0.0153250001603737
"993","Chelidonichthys lucerna","Triglidae","Chelidonichthys",24,"Species","IE-IGFS","fb","TL","spe-FAO",2.99620001316071,0.0101169999223202
"994","Raja montagui","Rajidae","Raja",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.27050006389618,0.00235500000417233
"995","Dipturus","Rajidae","Dipturus",24,"Genus","IE-IGFS","fb","TL","gen-FAO",3.53900003433228,0.00047999998787418
"996","Ctenolabrus rupestris","Labridae","Ctenolabrus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3,0.0122999995946884
"997","Ammodytidae","Ammodytidae",NA,24,"Family","IE-IGFS","fb","TL","fam-FAO",2.55999994277954,0.00980000011622906
"998","Labrus mixtus","Labridae","Labrus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.25699996948242,0.00499999988824129
"999","Pollachius pollachius","Gadidae","Pollachius",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.10833334922791,0.00595333334058523
"1000","Scophthalmus maximus","Scophthalmidae","Scophthalmus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.02788893381755,0.016391111123893
"1001","Gaidropsarus vulgaris","Lotidae","Gaidropsarus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.18050003051758,0.00650500017218292
"1002","Phrynorhombus norvegicus","Scophthalmidae","Phrynorhombus",24,"Species","IE-IGFS","fb","TL","spe-FAO",2.90499997138977,0.016100000590086
"1003","Cepola macrophthalma","Cepolidae","Cepola",24,"Species","IE-IGFS","fb","TL","spe-FAO",2.08899998664856,0.0198500002734363
"1004","Agonus cataphractus","Agonidae","Agonus",24,"Species","IE-IGFS","fb","TL","spe-Ocean",2.7404500246048,0.0150000001303852
"1005","Mullus surmuletus","Mullidae","Mullus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.14515376091003,0.0089589583221823
"1006","Ciliata","Lotidae","Ciliata",24,"Genus","IE-IGFS","fb","TL","gen-FAO",3,0.0063999998383224
"1007","Gobius","Gobiidae","Gobius",24,"Genus","IE-IGFS","fb","TL","gen-FAO",3.08200001716614,0.0110571428335139
"1008","Trisopterus luscus","Gadidae","Trisopterus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.19577778710259,0.00780111119254596
"1009","Lepidorhombus boscii","Scophthalmidae","Lepidorhombus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.07236251235008,0.0113375000655651
"1010","Macrouridae","Macrouridae",NA,24,"Family","IE-IGFS","fb","TL","fam-FAO",3.05175000429153,0.104886247368995
"1011","Syngnathidae","Syngnathidae",NA,24,"Family","IE-IGFS","fb","TL","fam-FAO",3.02854544466192,0.00167169091252039
"1012","Arnoglossus imperialis","Bothidae","Arnoglossus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.16799998283386,0.00523749989224598
"1013","Hyperoplus lanceolatus","Ammodytidae","Hyperoplus",24,"Species","IE-IGFS","fb","TL","spe-Ocean",2.69670009613037,0.00659999996423721
"1014","Zeugopterus punctatus","Scophthalmidae","Zeugopterus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.14599990844727,0.0138999996706843
"1015","Echiichthys vipera","Trachinidae","Echiichthys",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.04999995231628,0.010499999858439
"1016","Mustelus","Triakidae","Mustelus",24,"Genus","IE-IGFS","fb","TL","gen-FAO",3.1599999666214,0.00200000003678724
"1017","Liparis","Liparidae","Liparis",24,"Genus","IE-IGFS","fb","TL","gen-Ocean",3.07795000076294,0.014600926078856
"1018","Scyliorhinus stellaris","Scyliorhinidae","Scyliorhinus",24,"Species","IE-IGFS","fb","TL","spe-Ocean",3.16700005531311,0.0020000000949949
"1019","Sardina pilchardus","Clupeidae","Sardina",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.1022125184536,0.00711875013075769
"1020","Engraulis encrasicolus","Engraulidae","Engraulis",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.19062858309065,0.00410428573710046
"1021","Pomatoschistus","Gobiidae","Pomatoschistus",24,"Genus","IE-IGFS","fb","TL","gen-FAO",3.15666675567627,0.00755333326136072
"1022","Chelidonichthys lastoviza","Triglidae","Chelidonichthys",24,"Species","IE-IGFS","fb","TL","spe-FAO",2.98116664091746,0.0106533332727849
"1023","Arnoglossus laterna","Bothidae","Arnoglossus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.22574996948242,0.00526499998522922
"1024","Arnoglossus thori","Bothidae","Arnoglossus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.085666735967,0.0126000000163913
"1025","Raja undulata","Rajidae","Raja",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.06799999872843,0.00551333340505759
"1026","Raja brachyura","Rajidae","Raja",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.18250000476837,0.00351499998942018
"1027","Scorpaenidae","Scorpaenidae",NA,24,"Family","IE-IGFS","fb","TL","fam-FAO",3.05388803482056,0.0171804001368582
"1028","Myctophidae","Myctophidae",NA,24,"Family","IE-IGFS","fb","TL","fam-FAO",2.98000001907349,0.00510000018402934
"1029","Ammodytes marinus","Ammodytidae","Ammodytes",24,"Species","IE-IGFS","fb","TL","spe-Ocean",3.43950009346008,0.00100000004749745
"1030","Trachinus draco","Trachinidae","Trachinus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.13050001859665,0.0063212500026566
"1031","Pholis gunnellus","Pholidae","Pholis",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.01799988746643,0.00430000014603138
"1032","Acantholabrus palloni","Labridae","Acantholabrus",24,"Species","IE-IGFS","fb","TL","spe-Ocean",3.07399988174438,0.0108000002801418
"1033","Parablennius gattorugine","Blenniidae","Parablennius",24,"Species","IE-IGFS","fb","TL","spe-FAO",3,0.0115000000223517
"1034","Taurulus bubalis","Cottidae","Taurulus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3,0.0153999999165535
"1035","Blennius ocellaris","Blenniidae","Blennius",24,"Species","IE-IGFS","fb","TL","spe-FAO",2.93650007247925,0.0153999999165535
"1036","Leucoraja fullonica","Rajidae","Leucoraja",24,"Species","IE-IGFS","fb","TL","gen-FAO",3.31100002924601,0.00191666667039196
"1037","Dicentrarchus labrax","Moronidae","Dicentrarchus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.00228571891785,0.0105842856823334
"1038","Myoxocephalus scorpius","Cottidae","Myoxocephalus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.25700008869171,0.00830000010319054
"1039","Echiodon drummondii","Carapidae","Echiodon",24,"Species","IE-IGFS","fb","TL","spe-Ocean",3,0.000592592579778284
"1040","Boops boops","Sparidae","Boops",24,"Species","IE-IGFS","fb","TL","spe-FAO",2.97642857687814,0.0101614286457854
"1041","Mullus barbatus barbatus","Mullidae","Mullus",24,"Subspecies","IE-IGFS","fb","TL","spe-FAO",3.01774996519089,0.00870750010653865
"1042","Raja microocellata","Rajidae","Raja",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.11700010299683,0.00493999989703298
"1043","Macroramphosus scolopax","Centriscidae","Macroramphosus",24,"Species","IE-IGFS","fb","TL","spe-FAO",2.88499999046326,0.012799999754255
"1044","Dipturus oxyrinchus","Rajidae","Dipturus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.53900003433228,0.00047999998787418
"1045","Tetronarce nobiliana","Torpedinidae","Tetronarce",24,"Species","IE-IGFS","fb","TL","spe-FAO",2.86500000953674,0.0317699983716011
"1046","Gaidropsarus","Lotidae","Gaidropsarus",24,"Genus","IE-IGFS","fb","TL","gen-FAO",3.10366670290629,0.00645000006382664
"1047","Ammodytes","Ammodytidae","Ammodytes",24,"Genus","IE-IGFS","fb","TL","gen-FAO",2.55999994277954,0.00980000011622906
"1048","Aphia minuta","Gobiidae","Aphia",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.52666666110357,0.00122424997728861
"1049","Cyclopterus lumpus","Cyclopteridae","Cyclopterus",24,"Species","IE-IGFS","fb","TL","spe-FAO",2.71299997965495,0.330566665778557
"1050","Lesueurigobius friesii","Gobiidae","Lesueurigobius",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.51500010490417,0.00257000001147389
"1051","Zoarcidae","Zoarcidae",NA,24,"Family","IE-IGFS","fb","TL","fam-FAO",3.26167494058609,0.00362999997560109
"1052","Belone belone","Belonidae","Belone",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.09733327229818,0.00098333335093533
"1053","Syngnathus","Syngnathidae","Syngnathus",24,"Genus","IE-IGFS","fb","TL","gen-FAO",3.24999995231628,0.000286920000507962
"1054","Molva dypterygia","Lotidae","Molva",24,"Species","IE-IGFS","fb","TL","spe-Ocean",3.1489999294281,0.00190999999176711
"1055","Enchelyopus cimbrius","Lotidae","Enchelyopus",24,"Species","IE-IGFS","fb","TL","spe-FAO",3.10599994659424,0.00350000010803342
"1056","Alosa","Clupeidae","Alosa",24,"Genus","IE-IGFS","fb","TL","gen-FAO",3.00114814440409,0.0147885183665763
"1057","Coryphaenoides rupestris","Macrouridae","Coryphaenoides",24,"Species","IE-IGFS","fb","TL","gen-Ocean",2.48669993877411,0.0196850001811981
